timestamp,Time,objectId,spaBusyTicks,spaWaitTicks,spaIdleTicks,spbBusyTicks,spbWaitTicks,spbIdleTicks,spa cpu utilization(%),spb cpu utilization(%)
1531958100000,7/19/2018 7:55,APM00162430776,265828614,154241,3033930833,672931811,8191178,2595925138,10.75663967,24.96209859
1531957800000,7/19/2018 7:50,APM00162430776,265809793,154236,3033774688,672888343,8190366,2595795282,8.617660604,21.84533444
1531957500000,7/19/2018 7:45,APM00162430776,265794636,154231,3033613967,672850281,8189815,2595659661,9.022505076,23.69553739
1531957200000,7/19/2018 7:40,APM00162430776,265778772,154225,3033454010,672808992,8189314,2595527203,11.38338567,25.10997236
1531956900000,7/19/2018 7:35,APM00162430776,265758834,154219,3033298804,672765381,8188768,2595397680,12.22521246,30.75935841
1531956600000,7/19/2018 7:30,APM00162430776,265737529,154215,3033145842,672712414,8188085,2595279132,14.62959132,29.30694337
1531956300000,7/19/2018 7:25,APM00162430776,265712070,154210,3032997282,672662055,8187311,2595158432,12.20777733,25.87539765
1531956000000,7/19/2018 7:20,APM00162430776,265690754,154204,3032843994,672617237,8186537,2595030817,12.6665522,26.02985109
1531955700000,7/19/2018 7:15,APM00162430776,265668623,154200,3032691409,672572190,8185853,2594903489,9.435126013,26.73157003
1531955400000,7/19/2018 7:10,APM00162430776,265652102,154195,3032532834,672525649,8185376,2594776402,10.20827406,24.0070204
1531955100000,7/19/2018 7:05,APM00162430776,265634163,154189,3032375049,672483793,8184400,2594644885,10.4588548,28.90146483
1531954800000,7/19/2018 7:00,APM00162430776,265615828,154183,3032218084,672433540,8183245,2594522416,6.178263837,23.38804154
1531954500000,7/19/2018 6:55,APM00162430776,265604874,154177,3032051745,672392414,8182569,2594388376,6.933848,22.12129689
1531954200000,7/19/2018 6:50,APM00162430776,265592623,154161,3031887328,672353667,8182121,2594252414,6.721625485,18.83500786
1531953900000,7/19/2018 6:45,APM00162430776,265580727,154157,3031722247,672320598,8181726,2594110306,7.052970773,19.86613119
1531953600000,7/19/2018 6:40,APM00162430776,265568251,154152,3031557838,672285724,8181345,2593970016,7.205677612,20.63697255
1531953300000,7/19/2018 6:35,APM00162430776,265555519,154147,3031393881,672249645,8180879,2593831734,10.21272213,29.73952723
1531953000000,7/19/2018 6:30,APM00162430776,265537669,154140,3031236956,672198289,8180456,2593710827,9.439273682,25.20993379
1531952700000,7/19/2018 6:25,APM00162430776,265521138,154135,3031078362,672154578,8180044,2593581562,10.1138148,30.89676222
1531952400000,7/19/2018 6:20,APM00162430776,265503490,154129,3030921522,672101130,8179581,2593462484,10.1192553,26.80728989
1531952100000,7/19/2018 6:15,APM00162430776,265485798,154125,3030764383,672054781,8179187,2593336330,9.925664811,28.18699825
1531951800000,7/19/2018 6:10,APM00162430776,265468453,154120,3030606984,672005907,8178738,2593212261,13.02235738,29.10640916
1531951500000,7/19/2018 6:05,APM00162430776,265445801,154115,3030455694,671955752,8178222,2593090616,16.74546454,38.93044566
1531951200000,7/19/2018 6:00,APM00162430776,265416864,154102,3030311839,671889135,8177635,2592986702,6.416988504,23.80800547
1531950900000,7/19/2018 5:55,APM00162430776,265405499,154098,3030146100,671847321,8176874,2592853647,7.09693499,23.35251659
1531950600000,7/19/2018 5:50,APM00162430776,265392970,154094,3029982092,671806459,8176450,2592719954,6.882625443,19.5102213
1531950300000,7/19/2018 5:45,APM00162430776,265380802,154089,3029817472,671772225,8176040,2592579131,6.61978593,20.89590546
1531950000000,7/19/2018 5:40,APM00162430776,265369082,154084,3029652152,671735588,8175614,2592440863,6.621320313,18.93679388
1531949700000,7/19/2018 5:35,APM00162430776,265357352,154080,3029486731,671702317,8175194,2592298859,6.320729145,18.87719099
1531949400000,7/19/2018 5:30,APM00162430776,265346159,154073,3029320847,671669146,8174815,2592156689,7.002728189,22.82867069
1531949100000,7/19/2018 5:25,APM00162430776,265333787,154068,3029156550,671629194,8174370,2592022078,7.086035427,21.36588762
1531948800000,7/19/2018 5:20,APM00162430776,265321254,154063,3028992219,671591749,8173874,2591884763,7.027299444,22.12533998
1531948500000,7/19/2018 5:15,APM00162430776,265308844,154058,3028828037,671553027,8173450,2591748897,6.839236903,20.16960283
1531948200000,7/19/2018 5:10,APM00162430776,265296759,154052,3028663427,671517707,8173042,2591609510,6.737528537,26.05785948
1531947900000,7/19/2018 5:05,APM00162430776,265284836,154046,3028498392,671471995,8172525,2591480314,7.928193221,27.73724713
1531947600000,7/19/2018 5:00,APM00162430776,265270836,154041,3028335812,671423444,8172129,2591354222,6.942913197,26.50277431
1531947300000,7/19/2018 4:55,APM00162430776,265258556,154036,3028171226,671376969,8171391,2591226076,7.139740095,23.38732286
1531947000000,7/19/2018 4:50,APM00162430776,265245958,154031,3028007380,671336091,8170831,2591092727,7.219635147,20.23794593
1531946700000,7/19/2018 4:45,APM00162430776,265233183,154025,3027843213,671300590,8170215,2590953426,6.679858657,19.45712706
1531946400000,7/19/2018 4:40,APM00162430776,265221368,154008,3027678170,671266455,8169822,2590812517,7.013515806,21.22914587
1531946100000,7/19/2018 4:35,APM00162430776,265208966,154002,3027513748,671229235,8169382,2590674852,6.546774385,19.08151799
1531945800000,7/19/2018 4:30,APM00162430776,265197386,153999,3027348450,671195783,8169019,2590533356,6.86369208,19.73626474
1531945500000,7/19/2018 4:25,APM00162430776,265185235,153993,3027183574,671161150,8168614,2590392915,6.798863656,19.86492873
1531945200000,7/19/2018 4:20,APM00162430776,265173197,153988,3027018558,671126265,8168202,2590252601,6.820648487,19.83410338
1531944900000,7/19/2018 4:15,APM00162430776,265161131,153982,3026853726,671091450,8167785,2590112302,6.847023991,19.12431231
1531944600000,7/19/2018 4:10,APM00162430776,265149013,153977,3026688867,671057905,8167349,2589970878,7.003569203,23.13284411
1531944300000,7/19/2018 4:05,APM00162430776,265136651,153972,3026524724,671017429,8166948,2589836783,8.638054932,23.79059966
1531944000000,7/19/2018 4:00,APM00162430776,265121445,153967,3026363900,670975883,8166566,2589704079,6.967783549,28.63618673
1531943700000,7/19/2018 3:55,APM00162430776,265109130,153961,3026199479,670925851,8165961,2589580000,7.453183733,24.33032521
1531943400000,7/19/2018 3:50,APM00162430776,265095984,153956,3026036249,670883334,8165447,2589448282,6.874872907,21.45538781
1531943100000,7/19/2018 3:45,APM00162430776,265083813,153950,3025871390,670845730,8164424,2589311643,6.989833688,21.68015489
1531942800000,7/19/2018 3:40,APM00162430776,265071444,153944,3025706808,670807770,8164026,2589174910,7.000113033,20.66038972
1531942500000,7/19/2018 3:35,APM00162430776,265059058,153939,3025542259,670771498,8163585,2589036060,6.849539337,18.58735636
1531942200000,7/19/2018 3:30,APM00162430776,265046925,153933,3025377262,670738856,8163157,2588893516,6.690502819,19.47916667
1531941900000,7/19/2018 3:25,APM00162430776,265035080,153928,3025212070,670704635,8162762,2588752452,6.925751109,19.96818591
1531941600000,7/19/2018 3:20,APM00162430776,265022828,153909,3025047436,670669612,8162271,2588612572,6.788874699,19.69114396
1531941300000,7/19/2018 3:15,APM00162430776,265010814,153904,3024882489,670635146,8161849,2588472427,6.840355895,20.08511563
1531941000000,7/19/2018 3:10,APM00162430776,264998713,153899,3024717689,670600033,8161391,2588333177,6.748546084,21.78919095
1531940700000,7/19/2018 3:05,APM00162430776,264986784,153890,3024552863,670561825,8160814,2588196609,8.48888057,27.63072064
1531940400000,7/19/2018 3:00,APM00162430776,264971817,153885,3024391522,670513537,8160189,2588070760,7.871055541,28.83367041
1531940100000,7/19/2018 2:55,APM00162430776,264957936,153881,3024229052,670463211,8159502,2587947234,7.316742005,21.73341788
1531939800000,7/19/2018 2:50,APM00162430776,264945003,153876,3024065231,670425166,8159062,2587810666,7.109514244,20.37236621
1531939500000,7/19/2018 2:45,APM00162430776,264932438,153864,3023901073,670389440,8158587,2587671502,6.742227247,19.08695008
1531939200000,7/19/2018 2:40,APM00162430776,264920511,153858,3023736106,670355955,8158177,2587529963,6.661317572,20.64345607
1531938900000,7/19/2018 2:35,APM00162430776,264908722,153854,3023570922,670319715,8157767,2587391061,6.844003301,18.9505719
1531938600000,7/19/2018 2:30,APM00162430776,264896614,153848,3023406122,670286463,8157341,2587249272,7.806246811,24.00792288
1531938300000,7/19/2018 2:25,APM00162430776,264882843,153843,3023243488,670244525,8156909,2587116958,7.383919615,23.10331027
1531938000000,7/19/2018 2:20,APM00162430776,264869814,153830,3023080079,670204115,8156420,2586982947,7.261915539,21.17504529
1531937700000,7/19/2018 2:15,APM00162430776,264856979,153824,3022916176,670167061,8156016,2586845416,7.25936162,21.72879302
