timestamp,Time,objectId,spaBusyTicks,spaWaitTicks,spaIdleTicks,spbBusyTicks,spbWaitTicks,spbIdleTicks,spa cpu utilization(%),spb cpu utilization(%)
1531958100000,7/19/2018 7:55,CETV3162500014,506717162,6788634,4286709084,234678786,142660,4572535786,10.85970304,4.486607017
1531957800000,7/19/2018 7:50,CETV3162500014,506697868,6788423,4286550923,234670798,142657,4572365736,11.55742966,4.333496162
1531957500000,7/19/2018 7:45,CETV3162500014,506677339,6788142,4286394107,234663080,142653,4572195357,12.17070274,4.17838557
1531957200000,7/19/2018 7:40,CETV3162500014,506655713,6787852,4286238334,234655637,142648,4572024674,9.897075366,4.426433915
1531956900000,7/19/2018 7:35,CETV3162500014,506638116,6787618,4286078365,234647756,142645,4571854514,10.83614337,4.45416662
1531956600000,7/19/2018 7:30,CETV3162500014,506618867,6787388,4285920207,234639825,142642,4571684390,9.857775627,4.341260217
1531956300000,7/19/2018 7:25,CETV3162500014,506601352,6787159,4285760274,234632092,142638,4571513999,11.0623853,4.747961265
1531956000000,7/19/2018 7:20,CETV3162500014,506581701,6786925,4285602521,234623644,142634,4571344522,10.36038573,4.706993054
1531955700000,7/19/2018 7:15,CETV3162500014,506563308,6786697,4285443610,234615268,142630,4571174954,10.5543614,4.082903997
1531955400000,7/19/2018 7:10,CETV3162500014,506544551,6786473,4285284873,234607993,142626,4571004051,9.807483563,4.116593791
1531955100000,7/19/2018 7:05,CETV3162500014,506527113,6786208,4285124773,234600659,142622,4570833232,10.80500129,4.095415605
1531954800000,7/19/2018 7:00,CETV3162500014,506507911,6786010,4284966459,234593364,142618,4570662405,9.972331882,4.320557883
1531954500000,7/19/2018 6:55,CETV3162500014,506490178,6785778,4284806602,234585669,142615,4570492001,10.93333934,4.563870018
1531954200000,7/19/2018 6:50,CETV3162500014,506470757,6785517,4284648653,234577547,142611,4570322164,11.48729262,4.310131842
1531953900000,7/19/2018 6:45,CETV3162500014,506450345,6785257,4284491633,234569871,142607,4570151752,12.09024925,4.174405881
1531953600000,7/19/2018 6:40,CETV3162500014,506428857,6784969,4284335679,234562432,142604,4569980989,9.722112842,4.266027763
1531953300000,7/19/2018 6:35,CETV3162500014,506411574,6784748,4284175413,234554829,142600,4569810374,10.94628955,4.393524032
1531953000000,7/19/2018 6:30,CETV3162500014,506392115,6784500,4284017352,234547008,142596,4569640187,9.866280968,4.480268625
1531952700000,7/19/2018 6:25,CETV3162500014,506374584,6784259,4283857438,234539029,142594,4569470076,11.02410961,4.793804584
1531952400000,7/19/2018 6:20,CETV3162500014,506355000,6784044,4283699590,234530499,142589,4569300673,10.63356569,4.941708424
1531952100000,7/19/2018 6:15,CETV3162500014,506336115,6783811,4283541110,234521712,142586,4569131650,10.80900103,4.355198221
1531951800000,7/19/2018 6:10,CETV3162500014,506316906,6783576,4283382841,234513955,142582,4568961302,9.860272477,4.409965771
