timestamp,Time,objectId,spaBusyTicks,spaWaitTicks,spaIdleTicks,spbBusyTicks,spbWaitTicks,spbIdleTicks,spa cpu utilization(%),spb cpu utilization(%)
1531958100000,7/19/2018 7:55,CKM00175101208,252319239,165162,5550911466,539473174,8245928,5217703389,3.658543385,8.469991357
1531957800000,7/19/2018 7:50,CKM00175101208,252312677,165159,5550738670,539458082,8245701,5217540526,4.047045439,9.245919679
1531957500000,7/19/2018 7:45,CKM00175101208,252305420,165155,5550566615,539441614,8245472,5217379112,6.584548602,11.9323938
1531957200000,7/19/2018 7:40,CKM00175101208,252293649,165152,5550399622,539420413,8245113,5217222996,3.779892576,9.115814293
1531956900000,7/19/2018 7:35,CKM00175101208,252286865,165148,5550226934,539404175,8244871,5217061346,4.192037471,8.615163541
1531956600000,7/19/2018 7:30,CKM00175101208,252279347,165144,5550055116,539388827,8244626,5216898788,7.032392953,10.31024828
1531956300000,7/19/2018 7:25,CKM00175101208,252266801,165140,5549889263,539370526,8244370,5216739842,3.777390258,8.393582864
1531956000000,7/19/2018 7:20,CKM00175101208,252260021,165136,5549716558,539355573,8244133,5216576884,4.240063833,9.312291146
1531955700000,7/19/2018 7:15,CKM00175101208,252252422,165132,5549544942,539338992,8243916,5216415627,8.160348007,9.515490005
1531955400000,7/19/2018 7:10,CKM00175101208,252237865,165129,5549381115,539322108,8243662,5216255328,3.756737324,8.92227735
1531955100000,7/19/2018 7:05,CKM00175101208,252231125,165124,5549208449,539306211,8243446,5216093269,7.014617985,9.460273155
1531954800000,7/19/2018 7:00,CKM00175101208,252218591,165121,5549042302,539289400,8243192,5215932633,7.489006551,9.545690024
1531954500000,7/19/2018 6:55,CKM00175101208,252205239,165117,5548877370,539272448,8242887,5215772302,3.756553911,9.233644021
1531954200000,7/19/2018 6:50,CKM00175101208,252198497,165114,5548704642,539255993,8242636,5215610801,16.80193795,11.33520986
1531953900000,7/19/2018 6:45,CKM00175101208,252168811,165110,5548557650,539236019,8242226,5215454973,5.833221371,12.54958224
1531953600000,7/19/2018 6:40,CKM00175101208,252158391,165106,5548389442,539213714,8241912,5215299857,3.95352338,8.460554084
1531953300000,7/19/2018 6:35,CKM00175101208,252151300,165102,5548217178,539198640,8241679,5215136996,20.51671993,12.75987866
1531953000000,7/19/2018 6:30,CKM00175101208,252115414,165097,5548078158,539176220,8241219,5214984169,4.944232938,8.743034334
1531952700000,7/19/2018 6:25,CKM00175101208,252106557,165094,5547907880,539160656,8240976,5214821960,4.987873979,9.454455551
1531952400000,7/19/2018 6:20,CKM00175101208,252097631,165090,5547737856,539143830,8240748,5214661045,24.96492479,12.94533152
1531952100000,7/19/2018 6:15,CKM00175101208,252054214,165086,5547607365,539121178,8240375,5214509088,3.715818979,9.21690805
1531951800000,7/19/2018 6:10,CKM00175101208,252047546,165082,5547434588,539104759,8240133,5214347609,8.886683154,9.422336473
1531951500000,7/19/2018 6:05,CKM00175101208,252031699,165079,5547272115,539088045,8239810,5214187259,23.16018312,13.79034516
1531951200000,7/19/2018 6:00,CKM00175101208,251991429,165076,5547138512,539063909,8239484,5214036700,3.724166383,8.572422578
1531950900000,7/19/2018 5:55,CKM00175101208,251984749,165072,5546965827,539048632,8239266,5213873984,3.715346286,9.126378191
1531950600000,7/19/2018 5:50,CKM00175101208,251978083,165068,5546793079,539032375,8239050,5213712325,10.0475343,10.11007735
1531950300000,7/19/2018 5:45,CKM00175101208,251960243,165064,5546633367,539014456,8238718,5213553337,3.763341973,11.79512518
1531950000000,7/19/2018 5:40,CKM00175101208,251953491,165061,5546460707,538993449,8238462,5213396501,3.690098607,8.461421909
1531949700000,7/19/2018 5:35,CKM00175101208,251946871,165057,5546287932,538978371,8238219,5213233625,8.153731402,10.29479736
1531949400000,7/19/2018 5:30,CKM00175101208,251932332,165053,5546124164,538960107,8237954,5213074744,3.726801538,8.485382513
1531949100000,7/19/2018 5:25,CKM00175101208,251925645,165050,5545951424,538944988,8237684,5212911956,3.719742951,9.188718956
1531948800000,7/19/2018 5:20,CKM00175101208,251918971,165047,5545778680,538928616,8237415,5212750422,4.729329774,8.72672116
1531948500000,7/19/2018 5:15,CKM00175101208,251910502,165043,5545608079,538913082,8237176,5212588190,3.685023045,9.181818182
1531948200000,7/19/2018 5:10,CKM00175101208,251903890,165039,5545435266,538896720,8236970,5212426558,3.786452123,8.403705553
1531947900000,7/19/2018 5:05,CKM00175101208,251897094,165035,5545262584,538881743,8236744,5212263542,4.209410649,9.476592065
1531947600000,7/19/2018 5:00,CKM00175101208,251889548,165032,5545090868,538864865,8236494,5212102568,3.658468636,8.496332175
1531947300000,7/19/2018 4:55,CKM00175101208,251882982,165028,5544917964,538849727,8236261,5211939768,3.801580138,9.249531378
1531947000000,7/19/2018 4:50,CKM00175101208,251876159,165024,5544745313,538833246,8235984,5211778344,4.128023378,8.960597635
1531946700000,7/19/2018 4:45,CKM00175101208,251868757,165020,5544573408,538817293,8235748,5211616498,3.766224357,11.85723268
1531946400000,7/19/2018 4:40,CKM00175101208,251861999,165016,5544400733,538796171,8235492,5211459740,3.741625514,8.454033055
1531946100000,7/19/2018 4:35,CKM00175101208,251855286,165012,5544228036,538781112,8235265,5211296898,3.967329189,9.376719945
1531945800000,7/19/2018 4:30,CKM00175101208,251848170,165009,5544055790,538764416,8235037,5211135764,3.712702995,8.483368421
1531945500000,7/19/2018 4:25,CKM00175101208,251841508,165005,5543883018,538749305,8234805,5210972982,3.679052811,9.108667464
1531945200000,7/19/2018 4:20,CKM00175101208,251834908,165001,5543710228,538733078,8234576,5210811289,4.020254633,8.617001566
1531944900000,7/19/2018 4:15,CKM00175101208,251827699,164997,5543538124,538717730,8234334,5210648766,3.754374624,9.132081825
1531944600000,7/19/2018 4:10,CKM00175101208,251820962,164993,5543365421,538701458,8234095,5210487092,3.738552182,8.503533083
1531944300000,7/19/2018 4:05,CKM00175101208,251814255,164989,5543192731,538686307,8233857,5210324308,4.112598772,9.612923505
1531944000000,7/19/2018 4:00,CKM00175101208,251806880,164985,5543020783,538669181,8233597,5210163538,3.643638958,8.53459356
1531943700000,7/19/2018 3:55,CKM00175101208,251800342,164982,5542847888,538653975,8233350,5210000822,3.752390191,9.237513612
1531943400000,7/19/2018 3:50,CKM00175101208,251793611,164978,5542675244,538637518,8233112,5209839363,4.008917375,8.589384298
1531943100000,7/19/2018 3:45,CKM00175101208,251786418,164974,5542503016,538622224,8232871,5209676841,3.734906864,11.83781387
1531942800000,7/19/2018 3:40,CKM00175101208,251779715,164970,5542330254,538601136,8232613,5209520046,3.785307901,8.414535576
1531942500000,7/19/2018 3:35,CKM00175101208,251772922,164966,5542157594,538586145,8232365,5209357129,4.156511943,9.530148566
1531942200000,7/19/2018 3:30,CKM00175101208,251765469,164962,5541985742,538569178,8232092,5209196334,3.714480006,8.575035771
1531941900000,7/19/2018 3:25,CKM00175101208,251758805,164958,5541813004,538553896,8231853,5209033640,3.869407497,9.204809538
1531941600000,7/19/2018 3:20,CKM00175101208,251751861,164955,5541640492,538537498,8231603,5208872142,4.371840793,8.735339055
1531941300000,7/19/2018 3:15,CKM00175101208,251744025,164950,5541469095,538521947,8231360,5208709912,3.784696299,8.443701176
1531941000000,7/19/2018 3:10,CKM00175101208,251737232,164946,5541296406,538506901,8231128,5208546998,3.80889746,9.350382656
1531940700000,7/19/2018 3:05,CKM00175101208,251730398,164943,5541123821,538490236,8230899,5208385664,4.337104729,8.629957704
1531940400000,7/19/2018 3:00,CKM00175101208,251722624,164938,5540952356,538474872,8230676,5208223220,3.743500287,9.257710549
1531940100000,7/19/2018 2:55,CKM00175101208,251715907,164935,5540779645,538458378,8230429,5208061796,3.917929166,8.775819488
1531939800000,7/19/2018 2:50,CKM00175101208,251708878,164932,5540607271,538442743,8230200,5207899500,4.537287114,9.476363882
1531939500000,7/19/2018 2:45,CKM00175101208,251700747,164928,5540436202,538425880,8229956,5207738659,3.7274491,11.17831214
1531939200000,7/19/2018 2:40,CKM00175101208,251694061,164924,5540263520,538405956,8229679,5207580622,4.065548534,9.412795695
