timestamp,Time,objectId,spaBusyTicks,spaWaitTicks,spaIdleTicks,spbBusyTicks,spbWaitTicks,spbIdleTicks,spa cpu utilization(%),spb cpu utilization(%)
1531958100000,7/19/2018 7:55,FNM00152300188,154285904,2326709,1793915214,14170004,91622,193915063,12.91142658,5.229861528
1531957800000,7/19/2018 7:50,FNM00152300188,154262948,2325967,1793761116,14160679,91614,193746093,12.51518697,5.330881322
1531957500000,7/19/2018 7:45,FNM00152300188,154240698,2325219,1793606330,14151171,91605,193577253,13.33044442,5.495923646
1531957200000,7/19/2018 7:40,FNM00152300188,154217011,2324464,1793453081,14141376,91598,193408832,13.19618242,5.516780933
1531956900000,7/19/2018 7:35,FNM00152300188,154193547,2323681,1793299519,14131543,91583,193240442,12.51717923,4.982278254
1531956600000,7/19/2018 7:30,FNM00152300188,154171324,2322303,1793145580,14122659,91577,193071020,23.14343526,14.01463412
1531956300000,7/19/2018 7:25,FNM00152300188,154130720,2315558,1793017484,14097932,90943,192919944,33.74132127,12.83318274
1531956000000,7/19/2018 7:20,FNM00152300188,154071285,2314440,1792901888,14075207,90802,192765730,13.50340327,5.604132431
1531955700000,7/19/2018 7:15,FNM00152300188,154047280,2313712,1792748851,14065215,90794,192597433,13.24392619,5.315090932
1531955400000,7/19/2018 7:10,FNM00152300188,154023747,2312930,1792595477,14055740,90778,192428658,13.32763584,5.683774825
1531955100000,7/19/2018 7:05,FNM00152300188,154000043,2312223,1792442032,14045606,90772,192260501,12.35274262,5.226791298
1531954800000,7/19/2018 7:00,FNM00152300188,153978086,2311553,1792286909,14036279,90764,192091390,13.30478382,5.389933334
1531954500000,7/19/2018 6:55,FNM00152300188,153954443,2310851,1792133551,14026666,90756,191922660,13.09344259,5.221996567
1531954200000,7/19/2018 6:50,FNM00152300188,153931177,2310106,1791979870,14017358,90750,191753728,13.79729319,5.762306942
1531953900000,7/19/2018 6:45,FNM00152300188,153906649,2309329,1791827401,14007083,90743,191585696,13.05908633,5.340690521
1531953600000,7/19/2018 6:40,FNM00152300188,153883440,2308544,1791673672,13997559,90736,191416898,13.32666119,5.504551117
1531953300000,7/19/2018 6:35,FNM00152300188,153859738,2307780,1791520284,13987750,90728,191248517,14.21851675,5.458888708
1531953000000,7/19/2018 6:30,FNM00152300188,153834498,2304812,1791370977,13978015,90716,191079931,23.66794684,14.33554535
1531952700000,7/19/2018 6:25,FNM00152300188,153793023,2299275,1791242752,13952740,90118,190929494,34.76824388,13.15248223
1531952400000,7/19/2018 6:20,FNM00152300188,153731777,2297862,1791129256,13929463,89963,190775948,13.23797212,5.503280435
1531952100000,7/19/2018 6:15,FNM00152300188,153708224,2297188,1790975563,13919649,89956,190607439,13.2051484,5.373588038
1531951800000,7/19/2018 6:10,FNM00152300188,153684750,2296485,1790821976,13910068,89948,190438730,13.18774002,5.686653772
1531951500000,7/19/2018 6:05,FNM00152300188,153661296,2295782,1790668286,13899925,89940,190270516,13.64916312,5.344950433
1531951200000,7/19/2018 6:00,FNM00152300188,153637060,2295130,1790515610,13890398,89933,190101807,12.76314531,5.862848615
1531950900000,7/19/2018 5:55,FNM00152300188,153614367,2294399,1790361233,13879948,89926,189934023,12.54809315,4.814432643
1531950600000,7/19/2018 5:50,FNM00152300188,153592059,2293676,1790206484,13871363,89912,189764304,13.48202678,5.817620651
1531950300000,7/19/2018 5:45,FNM00152300188,153568104,2292838,1790053596,13860996,89904,189596479,13.04386972,5.445191838
1531950000000,7/19/2018 5:40,FNM00152300188,153544924,2292065,1789899841,13851290,89900,189427940,13.12258921,5.638629633
1531949700000,7/19/2018 5:35,FNM00152300188,153521586,2291249,1789746149,13841237,89891,189259714,12.63875343,4.978752985
1531949400000,7/19/2018 5:30,FNM00152300188,153499167,2288278,1789594156,13832356,89872,189090236,23.39936983,15.28649053
1531949100000,7/19/2018 5:25,FNM00152300188,153458099,2283346,1789464647,13805405,89248,188941505,34.71818842,12.66974716
1531948800000,7/19/2018 5:20,FNM00152300188,153396895,2281990,1789350919,13782976,89106,188787048,13.21100711,5.487972451
1531948500000,7/19/2018 5:15,FNM00152300188,153373409,2281267,1789197352,13773191,89100,188618540,12.35831872,5.360889517
1531948200000,7/19/2018 5:10,FNM00152300188,153351428,2280561,1789042175,13763635,89092,188449850,12.4612903,5.058618949
1531947900000,7/19/2018 5:05,FNM00152300188,153329256,2279871,1788887110,13754617,89084,188280606,12.91459999,5.196713497
1531947600000,7/19/2018 5:00,FNM00152300188,153306291,2279242,1788732882,13745351,89078,188111573,13.65881373,5.777842624
1531947300000,7/19/2018 4:55,FNM00152300188,153282010,2278525,1788580112,13735055,89071,187943678,12.78561667,5.235381872
1531947000000,7/19/2018 4:50,FNM00152300188,153259275,2277794,1788425761,13725720,89064,187774714,13.51516957,5.759508941
1531946700000,7/19/2018 4:45,FNM00152300188,153235233,2276996,1788272712,13715455,89058,187606758,13.1520895,5.282938431
1531946400000,7/19/2018 4:40,FNM00152300188,153211862,2276185,1788119196,13706037,89049,187437913,12.20065016,5.656862635
1531946100000,7/19/2018 4:35,FNM00152300188,153190169,2275454,1787963818,13695955,89041,187269777,13.84165512,4.773333931
1531945800000,7/19/2018 4:30,FNM00152300188,153165602,2271998,1787814355,13687443,89034,187099972,24.7948775,15.62569157
1531945500000,7/19/2018 4:25,FNM00152300188,153122116,2267440,1787687016,13659906,88413,186951901,34.64445403,12.82038254
1531945200000,7/19/2018 4:20,FNM00152300188,153061060,2266274,1787573002,13637197,88270,186797621,13.09484979,5.488225496
1531944900000,7/19/2018 4:15,FNM00152300188,153037775,2265545,1787419198,13627411,88262,186629106,13.12417021,5.417547717
1531944600000,7/19/2018 4:10,FNM00152300188,153014446,2264822,1787265494,13617752,88254,186460482,12.80458645,5.485437982
